period,strategy,days,start_open,end_valuation_open,total_return,cagr,annual_volatility,sharpe,max_drawdown,calmar,worst_day,longest_underwater_days,mean_position,exposed_days_fraction,trading_days,one_way_turnover,sum_cost_fractions
calibration,trend_model,1371,2018-04-01,2022-01-01,2.127831075341923,0.35471562748263197,0.30126465669603947,1.1579592385673272,-0.30919182850841986,1.147234806281345,-0.10995652495403174,503,0.2856100807296552,0.4566010211524435,115,32.63298720201724,0.04894948080302586
calibration,buy_hold,1371,2018-04-01,2022-01-01,5.666817168064732,0.6571088433774066,0.7377372662493156,1.0622530184726333,-0.6744005214928237,0.97435992772197,-0.39505178597985025,485,1.0,1.0,1,0.9985022466300548,0.0014977533699450823
calibration,sma200,1371,2018-04-01,2022-01-01,3.3361447333211727,0.4777995112294888,0.5218653947729368,1.0092261377869316,-0.5313009280622447,0.8993011041258939,-0.14419093866993005,512,0.5339168490153173,0.5339168490153173,28,27.979031452820767,0.04196854717923115
calibration,vol_hold,1371,2018-04-01,2022-01-01,2.921908055674794,0.4388192484998037,0.45404696290554447,1.031627060302369,-0.5363672279590259,0.8181321035768537,-0.25179282418089377,482,0.6326642990230646,1.0,171,16.21367108687891,0.024320506630318366
validation,trend_model,730,2022-01-01,2024-01-01,0.37852885021600424,0.17410768254705,0.23514187222930077,0.7986214424738296,-0.25339316325776184,0.6871048938677977,-0.07326459017772613,229,0.3098672409213704,0.3547945205479452,42,11.406138824951714,0.017109208237427575
validation,buy_hold,730,2022-01-01,2024-01-01,-0.08647654386473069,-0.0442157899738721,0.549656389253963,0.19344076583785524,-0.6693124398346608,-0.06606150930766304,-0.15387892090659738,729,1.0,1.0,1,0.9985022466300548,0.0014977533699450823
validation,sma200,730,2022-01-01,2024-01-01,0.7462755860359509,0.3214672095954372,0.29368900276752197,1.0939194224077362,-0.21972549831690558,1.463040075266056,-0.07334015302895769,118,0.4,0.4,5,4.995506739890164,0.0074932601098352475
validation,vol_hold,730,2022-01-01,2024-01-01,0.06415464834526485,0.03157871650459376,0.41946687427428475,0.28447236065338377,-0.5538987250043504,0.05701171546178543,-0.14142066649483598,701,0.7852582472052759,1.0,85,8.342461738102237,0.012513692607153355
holdout,trend_model,989,2024-01-01,2026-09-16,0.4266648513194915,0.140129046516702,0.2669222070978047,0.6236238359372918,-0.31732094960974266,0.4416003629418095,-0.07305395314789509,398,0.38814597925305816,0.45197168857431747,75,40.39831168504108,0.06059746752756162
holdout,buy_hold,989,2024-01-01,2026-09-16,0.7863005740091615,0.2387573807146084,0.472987375505715,0.6880842494282705,-0.5297176591351062,0.4507257339776784,-0.140174294452165,344,1.0,1.0,1,0.9985022466300548,0.0014977533699450823
holdout,sma200,989,2024-01-01,2026-09-16,0.3269767196046067,0.11005344410125995,0.3635527814788823,0.4677914597709936,-0.35859918000542834,0.30689820344707425,-0.08538061794638996,602,0.5945399393326593,0.5945399393326593,29,28.977533699450824,0.04346630054917623
holdout,vol_hold,989,2024-01-01,2026-09-16,0.6647018688002628,0.20694188887660014,0.401087670621167,0.6688139860426245,-0.5075277202830382,0.40774499718201157,-0.125569979189476,344,0.8558791306093007,1.0,85,8.304951748406014,0.012457427622609018
full_descriptive_only,trend_model,3090,2018-04-01,2026-09-16,5.165259539673207,0.23968517332234485,0.2759464902992777,0.9157778024169567,-0.3173209496097422,0.7553398967736675,-0.10995652495403174,965,0.3241900076613299,0.43106796116504853,231,83.5660291659182,0.12534904374887731
full_descriptive_only,buy_hold,3090,2018-04-01,2026-09-16,9.91175718364096,0.3261700367993512,0.6200711453581095,0.7698415240239467,-0.7662925085545054,0.42564690788198034,-0.39505178597985025,846,1.0,1.0,1,0.9985022466300548,0.0014977533699450823
full_descriptive_only,sma200,3090,2018-04-01,2026-09-16,9.063077316811354,0.3135467937562477,0.4283676470104635,0.8502016418539525,-0.5499178148417412,0.5701702787106145,-0.14419093866993005,1036,0.5216828478964401,0.5216828478964401,61,60.9535696455317,0.09143035446829754
full_descriptive_only,vol_hold,3090,2018-04-01,2026-09-16,5.969332793652608,0.25776717205969146,0.4295450650052755,0.7502465726044083,-0.6446309999343498,0.39986778806160866,-0.25179282418089377,833,0.7401990695168601,1.0,339,31.356636551585225,0.04703495482737784
