phase,candidate,year,train_rows,test_rows,train_signal_start,train_label_end_max,refit_date,test_signal_end
development,always_up,2020,608,366,2018-04-01,2019-12-31,2020-01-01,2020-12-31
development,always_up,2021,974,365,2018-04-01,2020-12-31,2021-01-01,2021-12-31
development,always_up,2022,1339,365,2018-04-01,2021-12-31,2022-01-01,2022-12-31
development,always_up,2023,1704,333,2018-04-01,2022-12-31,2023-01-01,2023-11-29
development,historical_prior,2020,608,366,2018-04-01,2019-12-31,2020-01-01,2020-12-31
development,historical_prior,2021,974,365,2018-04-01,2020-12-31,2021-01-01,2021-12-31
development,historical_prior,2022,1339,365,2018-04-01,2021-12-31,2022-01-01,2022-12-31
development,historical_prior,2023,1704,333,2018-04-01,2022-12-31,2023-01-01,2023-11-29
development,regime_expanding,2020,608,366,2018-04-01,2019-12-31,2020-01-01,2020-12-31
development,regime_expanding,2021,974,365,2018-04-01,2020-12-31,2021-01-01,2021-12-31
development,regime_expanding,2022,1339,365,2018-04-01,2021-12-31,2022-01-01,2022-12-31
development,regime_expanding,2023,1704,333,2018-04-01,2022-12-31,2023-01-01,2023-11-29
development,logistic_basic_expanding_l2_0.001,2020,608,366,2018-04-01,2019-12-31,2020-01-01,2020-12-31
development,logistic_basic_expanding_l2_0.001,2021,974,365,2018-04-01,2020-12-31,2021-01-01,2021-12-31
development,logistic_basic_expanding_l2_0.001,2022,1339,365,2018-04-01,2021-12-31,2022-01-01,2022-12-31
development,logistic_basic_expanding_l2_0.001,2023,1704,333,2018-04-01,2022-12-31,2023-01-01,2023-11-29
development,logistic_basic_expanding_l2_0.01,2020,608,366,2018-04-01,2019-12-31,2020-01-01,2020-12-31
development,logistic_basic_expanding_l2_0.01,2021,974,365,2018-04-01,2020-12-31,2021-01-01,2021-12-31
development,logistic_basic_expanding_l2_0.01,2022,1339,365,2018-04-01,2021-12-31,2022-01-01,2022-12-31
development,logistic_basic_expanding_l2_0.01,2023,1704,333,2018-04-01,2022-12-31,2023-01-01,2023-11-29
development,logistic_basic_expanding_l2_0.1,2020,608,366,2018-04-01,2019-12-31,2020-01-01,2020-12-31
development,logistic_basic_expanding_l2_0.1,2021,974,365,2018-04-01,2020-12-31,2021-01-01,2021-12-31
development,logistic_basic_expanding_l2_0.1,2022,1339,365,2018-04-01,2021-12-31,2022-01-01,2022-12-31
development,logistic_basic_expanding_l2_0.1,2023,1704,333,2018-04-01,2022-12-31,2023-01-01,2023-11-29
development,knn_basic_expanding_k_25,2020,608,366,2018-04-01,2019-12-31,2020-01-01,2020-12-31
development,knn_basic_expanding_k_25,2021,974,365,2018-04-01,2020-12-31,2021-01-01,2021-12-31
development,knn_basic_expanding_k_25,2022,1339,365,2018-04-01,2021-12-31,2022-01-01,2022-12-31
development,knn_basic_expanding_k_25,2023,1704,333,2018-04-01,2022-12-31,2023-01-01,2023-11-29
development,knn_basic_expanding_k_75,2020,608,366,2018-04-01,2019-12-31,2020-01-01,2020-12-31
development,knn_basic_expanding_k_75,2021,974,365,2018-04-01,2020-12-31,2021-01-01,2021-12-31
development,knn_basic_expanding_k_75,2022,1339,365,2018-04-01,2021-12-31,2022-01-01,2022-12-31
development,knn_basic_expanding_k_75,2023,1704,333,2018-04-01,2022-12-31,2023-01-01,2023-11-29
development,knn_basic_expanding_k_150,2020,608,366,2018-04-01,2019-12-31,2020-01-01,2020-12-31
development,knn_basic_expanding_k_150,2021,974,365,2018-04-01,2020-12-31,2021-01-01,2021-12-31
development,knn_basic_expanding_k_150,2022,1339,365,2018-04-01,2021-12-31,2022-01-01,2022-12-31
development,knn_basic_expanding_k_150,2023,1704,333,2018-04-01,2022-12-31,2023-01-01,2023-11-29
development,logistic_expanded_expanding_l2_0.001,2020,608,366,2018-04-01,2019-12-31,2020-01-01,2020-12-31
development,logistic_expanded_expanding_l2_0.001,2021,974,365,2018-04-01,2020-12-31,2021-01-01,2021-12-31
development,logistic_expanded_expanding_l2_0.001,2022,1339,365,2018-04-01,2021-12-31,2022-01-01,2022-12-31
development,logistic_expanded_expanding_l2_0.001,2023,1704,333,2018-04-01,2022-12-31,2023-01-01,2023-11-29
development,logistic_expanded_expanding_l2_0.01,2020,608,366,2018-04-01,2019-12-31,2020-01-01,2020-12-31
development,logistic_expanded_expanding_l2_0.01,2021,974,365,2018-04-01,2020-12-31,2021-01-01,2021-12-31
development,logistic_expanded_expanding_l2_0.01,2022,1339,365,2018-04-01,2021-12-31,2022-01-01,2022-12-31
development,logistic_expanded_expanding_l2_0.01,2023,1704,333,2018-04-01,2022-12-31,2023-01-01,2023-11-29
development,logistic_expanded_expanding_l2_0.1,2020,608,366,2018-04-01,2019-12-31,2020-01-01,2020-12-31
development,logistic_expanded_expanding_l2_0.1,2021,974,365,2018-04-01,2020-12-31,2021-01-01,2021-12-31
development,logistic_expanded_expanding_l2_0.1,2022,1339,365,2018-04-01,2021-12-31,2022-01-01,2022-12-31
development,logistic_expanded_expanding_l2_0.1,2023,1704,333,2018-04-01,2022-12-31,2023-01-01,2023-11-29
development,knn_expanded_expanding_k_25,2020,608,366,2018-04-01,2019-12-31,2020-01-01,2020-12-31
development,knn_expanded_expanding_k_25,2021,974,365,2018-04-01,2020-12-31,2021-01-01,2021-12-31
development,knn_expanded_expanding_k_25,2022,1339,365,2018-04-01,2021-12-31,2022-01-01,2022-12-31
development,knn_expanded_expanding_k_25,2023,1704,333,2018-04-01,2022-12-31,2023-01-01,2023-11-29
development,knn_expanded_expanding_k_75,2020,608,366,2018-04-01,2019-12-31,2020-01-01,2020-12-31
development,knn_expanded_expanding_k_75,2021,974,365,2018-04-01,2020-12-31,2021-01-01,2021-12-31
development,knn_expanded_expanding_k_75,2022,1339,365,2018-04-01,2021-12-31,2022-01-01,2022-12-31
development,knn_expanded_expanding_k_75,2023,1704,333,2018-04-01,2022-12-31,2023-01-01,2023-11-29
development,knn_expanded_expanding_k_150,2020,608,366,2018-04-01,2019-12-31,2020-01-01,2020-12-31
development,knn_expanded_expanding_k_150,2021,974,365,2018-04-01,2020-12-31,2021-01-01,2021-12-31
development,knn_expanded_expanding_k_150,2022,1339,365,2018-04-01,2021-12-31,2022-01-01,2022-12-31
development,knn_expanded_expanding_k_150,2023,1704,333,2018-04-01,2022-12-31,2023-01-01,2023-11-29
development,logistic_interactions_expanding_l2_0.001,2020,608,366,2018-04-01,2019-12-31,2020-01-01,2020-12-31
development,logistic_interactions_expanding_l2_0.001,2021,974,365,2018-04-01,2020-12-31,2021-01-01,2021-12-31
development,logistic_interactions_expanding_l2_0.001,2022,1339,365,2018-04-01,2021-12-31,2022-01-01,2022-12-31
development,logistic_interactions_expanding_l2_0.001,2023,1704,333,2018-04-01,2022-12-31,2023-01-01,2023-11-29
development,logistic_interactions_expanding_l2_0.01,2020,608,366,2018-04-01,2019-12-31,2020-01-01,2020-12-31
development,logistic_interactions_expanding_l2_0.01,2021,974,365,2018-04-01,2020-12-31,2021-01-01,2021-12-31
development,logistic_interactions_expanding_l2_0.01,2022,1339,365,2018-04-01,2021-12-31,2022-01-01,2022-12-31
development,logistic_interactions_expanding_l2_0.01,2023,1704,333,2018-04-01,2022-12-31,2023-01-01,2023-11-29
development,logistic_interactions_expanding_l2_0.1,2020,608,366,2018-04-01,2019-12-31,2020-01-01,2020-12-31
development,logistic_interactions_expanding_l2_0.1,2021,974,365,2018-04-01,2020-12-31,2021-01-01,2021-12-31
development,logistic_interactions_expanding_l2_0.1,2022,1339,365,2018-04-01,2021-12-31,2022-01-01,2022-12-31
development,logistic_interactions_expanding_l2_0.1,2023,1704,333,2018-04-01,2022-12-31,2023-01-01,2023-11-29
development,knn_interactions_expanding_k_25,2020,608,366,2018-04-01,2019-12-31,2020-01-01,2020-12-31
development,knn_interactions_expanding_k_25,2021,974,365,2018-04-01,2020-12-31,2021-01-01,2021-12-31
development,knn_interactions_expanding_k_25,2022,1339,365,2018-04-01,2021-12-31,2022-01-01,2022-12-31
development,knn_interactions_expanding_k_25,2023,1704,333,2018-04-01,2022-12-31,2023-01-01,2023-11-29
development,knn_interactions_expanding_k_75,2020,608,366,2018-04-01,2019-12-31,2020-01-01,2020-12-31
development,knn_interactions_expanding_k_75,2021,974,365,2018-04-01,2020-12-31,2021-01-01,2021-12-31
development,knn_interactions_expanding_k_75,2022,1339,365,2018-04-01,2021-12-31,2022-01-01,2022-12-31
development,knn_interactions_expanding_k_75,2023,1704,333,2018-04-01,2022-12-31,2023-01-01,2023-11-29
development,knn_interactions_expanding_k_150,2020,608,366,2018-04-01,2019-12-31,2020-01-01,2020-12-31
development,knn_interactions_expanding_k_150,2021,974,365,2018-04-01,2020-12-31,2021-01-01,2021-12-31
development,knn_interactions_expanding_k_150,2022,1339,365,2018-04-01,2021-12-31,2022-01-01,2022-12-31
development,knn_interactions_expanding_k_150,2023,1704,333,2018-04-01,2022-12-31,2023-01-01,2023-11-29
development,regime_730d,2020,608,366,2018-04-01,2019-12-31,2020-01-01,2020-12-31
development,regime_730d,2021,698,365,2019-01-02,2020-12-31,2021-01-01,2021-12-31
development,regime_730d,2022,698,365,2020-01-02,2021-12-31,2022-01-01,2022-12-31
development,regime_730d,2023,698,333,2021-01-01,2022-12-31,2023-01-01,2023-11-29
development,logistic_basic_730d_l2_0.001,2020,608,366,2018-04-01,2019-12-31,2020-01-01,2020-12-31
development,logistic_basic_730d_l2_0.001,2021,698,365,2019-01-02,2020-12-31,2021-01-01,2021-12-31
